,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
1,344.6809998,41.1973343,5.099,-5.627,8.227,621.9,64.3,-109.61,3.38,0.0
32,344.5768738,41.2364426,0.404,-3.28,5.0,335.5,53.8,-96.73,4.01,0.0
21,344.6125488,41.2845268,2.013,-0.395,2.285,263.4,55.6,-196.47,4.9,1.0
45,344.5572815,41.274971,-0.479,-0.968,1.891,369.9,48.8,-193.06,3.85,1.0
60,344.5222778,41.2995567,-2.057,0.507,2.302,435.4,55.0,-206.89,3.66,1.0
88,344.4356384,41.326416,-5.963,2.118,6.581,201.3,43.6,-196.83,5.56,1.0
61,344.5178223,41.2892494,-2.258,-0.112,2.898,256.9,47.8,-184.25,4.5,0.98
165,344.4811707,41.2748871,-3.91,-0.973,5.753,241.3,56.9,-206.85,6.08,1.0
64,344.51297,41.2732506,-2.476,-1.072,4.157,301.0,48.2,-185.22,3.22,0.99
58,344.5275269,41.3273315,-1.82,2.173,3.133,425.3,53.8,-203.46,3.92,1.0
154,344.5327454,41.2998352,-1.585,0.523,1.751,314.5,59.0,-195.06,4.79,1.0
36,344.5711365,41.2888603,0.146,-0.135,0.207,117.7,44.7,-206.18,7.87,1.0
43,344.559906,41.2429161,-0.36,-2.892,4.821,230.7,45.3,-204.28,4.74,1.0
119,344.5889893,41.4041939,0.951,6.785,11.382,259.2,68.8,-122.58,6.37,0.0
73,344.4908447,41.3238335,-3.474,1.963,3.993,205.7,47.2,-199.2,5.39,1.0
142,344.5527954,41.3482513,-0.681,3.428,5.112,173.6,51.6,-196.03,6.86,1.0
106,344.6438293,41.3672485,3.423,4.568,9.98,250.5,53.5,-79.91,5.39,0.0
127,344.5756531,41.2695541,0.349,-1.293,1.894,391.0,63.8,-196.62,4.62,1.0
121,344.5819702,41.3714981,0.634,4.823,8.063,227.3,49.9,-78.92,5.89,0.0
51,344.5481567,41.3010826,-0.89,0.598,1.075,362.5,53.3,-188.69,4.11,0.99
96,344.6837158,41.2350273,5.221,-3.365,6.218,261.1,52.3,-204.86,4.5,1.0
144,344.5513,41.2680016,-0.748,-1.387,2.762,301.9,56.7,-206.87,4.6,1.0
72,344.4960327,41.2926941,-3.24,0.095,3.968,232.5,44.3,-196.85,4.51,1.0
26,344.5989685,41.2704163,1.401,-1.242,1.936,467.1,56.4,-203.3,3.44,1.0
129,344.5727234,41.3351402,0.217,2.642,4.331,253.5,57.2,-202.46,4.93,1.0
69,344.5020142,41.2863045,-2.97,-0.288,3.933,664.4,53.8,-205.95,3.13,1.0
141,344.5543823,41.3026123,-0.609,0.69,1.004,244.6,55.4,-195.6,5.81,1.0
138,344.5572205,41.3264427,-0.482,2.12,3.137,304.3,58.6,-202.49,4.9,1.0
116,344.5950928,41.2889442,1.226,-0.13,1.443,183.1,56.3,-208.09,6.4,1.0
126,344.5769958,41.35989,0.41,4.127,6.811,529.1,59.3,-21.74,4.43,0.0
70,344.5010681,41.329277,-3.013,2.29,3.831,432.9,54.5,-195.06,3.7,1.0
158,344.5126648,41.2882767,-2.49,-0.17,3.236,414.3,63.8,-186.64,4.56,0.99
104,344.6567078,41.4075012,4.004,6.983,14.12,475.6,50.2,-104.66,4.46,0.0
4,344.6602173,41.189724,4.162,-6.083,8.598,322.1,58.5,-19.9,4.97,0.0
11,344.6503601,41.2500572,3.717,-2.463,4.468,127.4,42.0,-185.56,6.56,0.99
161,344.499176,41.2582512,-3.098,-1.972,5.993,275.2,48.1,-195.77,4.76,1.0
74,344.4907227,41.3085823,-3.479,1.048,3.855,317.4,50.5,-171.15,3.8,0.78
103,344.4519653,41.2029724,-5.227,-5.288,12.796,268.6,66.9,-85.16,5.82,0.0
41,344.5653381,41.2971649,-0.116,0.363,0.526,449.6,56.7,-197.32,3.62,1.0
35,344.5732117,41.2784462,0.239,-0.76,1.102,335.9,55.1,-215.39,3.94,1.0
87,344.4388428,41.3513069,-5.818,3.612,6.85,101.5,41.4,-187.01,8.07,0.99
110,344.6155701,41.3080826,2.149,1.018,3.715,364.1,62.6,-199.69,4.77,1.0
137,344.5583191,41.2421684,-0.432,-2.937,4.94,366.9,53.5,-207.67,4.52,1.0
134,344.5646362,41.2906952,-0.147,-0.025,0.205,233.8,48.6,-205.98,5.4,1.0
6,344.6148376,41.2026405,2.116,-5.308,7.585,341.1,56.4,-33.05,4.19,0.0
118,344.5889893,41.3750267,0.951,5.035,8.616,340.2,52.7,-40.14,4.62,0.0
49,344.5505066,41.3169708,-0.784,1.552,2.192,402.4,63.3,-210.2,3.17,1.0
128,344.5758362,41.3311386,0.358,2.402,4.043,261.1,48.4,-209.51,5.03,1.0
37,344.5709534,41.2519455,0.138,-2.35,3.659,374.9,52.4,-202.11,3.54,1.0
33,344.5750427,41.2773895,0.322,-0.823,1.178,313.5,52.7,-195.91,4.47,1.0
151,344.5395813,41.2592773,-1.277,-1.91,4.027,217.9,55.8,-173.33,5.63,0.85
10,344.6549988,41.2357216,3.927,-3.323,5.28,382.8,47.7,-186.15,3.51,0.99
5,344.6203613,41.2039719,2.365,-5.228,7.42,408.6,54.8,-150.7,4.05,0.01
15,344.6263733,41.277832,2.636,-0.797,2.92,448.3,58.6,-201.28,3.35,1.0
63,344.513031,41.2943344,-2.474,0.193,2.951,320.6,49.1,-213.03,3.07,1.0
85,344.4539185,41.3106956,-5.139,1.175,5.777,399.9,48.3,-191.24,3.51,1.0
125,344.5779114,41.3450851,0.451,3.238,5.431,301.7,52.2,-170.89,4.8,0.77
152,344.5395508,41.2928047,-1.278,0.102,1.524,325.9,54.9,-182.07,4.92,0.97
17,344.6237488,41.2692223,2.518,-1.313,2.85,364.7,48.0,-105.78,3.87,0.0
112,344.6050415,41.2996941,1.674,0.515,2.569,388.7,68.0,-190.62,4.52,1.0
20,344.6152649,41.2493324,2.135,-2.507,3.623,289.2,51.0,-198.34,4.36,1.0
42,344.5628662,41.2748871,-0.227,-0.973,1.697,506.9,54.9,-196.35,3.46,1.0
114,344.6024475,41.3547783,1.557,3.82,7.18,196.7,50.1,-207.1,6.53,1.0
166,344.4790955,41.2618904,-4.004,-1.753,6.746,372.6,61.4,-199.93,4.62,1.0
22,344.6112061,41.2393341,1.952,-3.107,4.378,357.5,51.5,-209.51,3.79,1.0
68,344.505127,41.312973,-2.83,1.312,3.156,584.7,56.1,-53.05,3.45,0.0
3,344.664093,41.1913605,4.337,-5.985,8.489,214.8,54.7,-36.91,5.63,0.0
120,344.581543,41.3048897,0.615,0.827,1.802,376.4,62.5,-190.66,4.47,1.0
47,344.5552368,41.2593613,-0.571,-1.905,3.416,385.5,49.1,-205.76,2.88,1.0
53,344.5437012,41.292778,-1.091,0.1,1.293,483.2,50.5,-189.72,2.74,0.99
13,344.6423035,41.2650833,3.354,-1.562,3.742,256.7,48.1,-89.84,4.57,0.0
14,344.6401978,41.2258339,3.259,-3.917,5.641,449.3,52.5,-82.51,3.59,0.0
27,344.5986328,41.2739449,1.385,-1.03,1.744,408.0,52.7,-183.41,3.54,0.98
66,344.5057373,41.3107796,-2.802,1.18,3.104,325.4,54.3,-198.89,4.23,1.0
140,344.5551147,41.3256683,-0.576,2.073,3.031,421.3,63.9,-200.83,4.36,1.0
107,344.632843,41.4096375,2.928,7.112,13.39,268.9,60.8,-110.69,5.57,0.0
81,344.4720764,41.2968063,-4.32,0.342,5.151,155.9,41.9,-191.84,7.7,1.0
133,344.5650024,41.269249,-0.131,-1.312,2.165,247.3,53.7,-202.75,5.34,1.0
148,344.5418701,41.2897491,-1.174,-0.082,1.526,752.0,74.6,-195.4,4.13,1.0
162,344.4934082,41.277916,-3.358,-0.792,4.895,222.1,59.8,-190.77,5.73,1.0
95,344.6997986,41.2482224,5.946,-2.573,6.596,556.5,72.0,-193.45,3.49,1.0
57,344.5328369,41.2856941,-1.581,-0.325,2.255,325.7,48.7,-183.52,3.96,0.98
82,344.4648743,41.3496399,-4.645,3.512,5.891,253.7,46.1,-180.47,5.92,0.96
100,344.4671936,41.188221,-4.54,-6.173,13.405,395.9,65.1,-78.51,5.06,0.0
